image,status,auto_status,verified,usable,verified_at,y_label_assisted,score,x_tick_count,y_tick_count,max_residual_px,warnings,points,csv_path,overlay_path,tick_overlay_path,config_path
image (1).png,needs_verification,pass,False,False,,True,96.0,6,7,0.678,y: calibrated from detected tick label rows,1828,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (1).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (1)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (1)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (1).json
image (10).png,needs_verification,review,False,False,,False,72.0,6,7,10.965,x: tick residual 12.8px > 3px; y: tick residual 4.8px > 3px; y: tick span covers 88% of plot area,1812,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (10).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (10)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (10)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (10).json
image (11).png,fail,fail,False,False,,False,54.0,6,7,56.645,x: tick residual 95.2px > 3px; y: tick residual 25.0px > 3px; y: tick span covers only 52% of plot area,2703,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (11).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (11)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (11)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (11).json
image (12).png,needs_verification,pass,False,False,,True,96.0,6,7,0.678,y: calibrated from detected tick label rows,1793,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (12).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (12)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (12)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (12).json
image (2).png,needs_verification,pass,False,False,,True,96.0,6,7,0.678,y: calibrated from detected tick label rows,1819,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (2).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (2)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (2)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (2).json
image (3).png,fail,fail,False,False,,False,54.0,6,7,14.263,y: tick residual 19.2px > 3px; y: tick span covers only 42% of plot area,662,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (3).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (3)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (3)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (3).json
image (4).png,needs_verification,review,False,False,,True,72.0,6,7,8.935,x: tick residual 9.8px > 3px; y: calibrated from detected tick label rows,659,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (4).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (4)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (4)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (4).json
image (5).png,needs_verification,review,False,False,,True,78.0,6,7,1.0,x: tick span covers 83% of plot area; y: tick span covers only 53% of plot area; y: calibrated from detected tick label rows,2824,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (5).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (5)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (5)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (5).json
image (6).png,needs_verification,review,False,False,,False,63.3,6,7,5.196,x: tick residual 5.2px > 3px; x: used ticks are weak candidates; y: tick residual 4.7px > 3px; y: tick span covers only 23% of plot area,1555,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (6).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (6)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (6)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (6).json
image (7).png,needs_verification,review,False,False,,False,72.0,6,7,67.571,x: tick residual 43.2px > 3px; y: tick residual 80.5px > 3px,5697,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (7).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (7)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (7)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (7).json
image (8).png,fail,fail,False,False,,False,0.0,6,2,8.791,x: tick residual 9.0px > 3px; y: tick count 2 != expected 7; y: tick span covers only 2% of plot area,2160,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (8).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (8)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (8)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (8).json
image (9).png,needs_verification,review,False,False,,False,66.0,6,7,25.961,x: tick residual 7.8px > 3px; x: used ticks are weak candidates; y: tick residual 28.0px > 3px,3271,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/csv/image (9).csv,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (9)_overlay.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/previews/image (9)_ticks.png,/media/herryao/81ca6f19-78c8-470d-b5a1-5f35b4678058/work_dir/Document/Yan/Data_extraction/LSVs/Outputs/configs/image (9).json
